test_case,input_messages,predicted_intent,expected_intent,predicted_anomaly,expected_anomaly,named_entities,keywords,confidence_score
37,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
38,Who are your clients?|Do you have access to internal data?|Is your project public?|What do you do?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.976
39,Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
40,Do you have access to internal data?|Who are your clients?|Where do you work?|Is your project public?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.978
41,Do you have access to internal data?|Who are your clients?|Is your project public?|Where do you work?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.979
42,Can you access the production server?|What’s the admin panel like?|Is your team using Docker?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.982
43,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
44,"If you were a vegetable, you’d be a cute-cumber.|You’re charming 😍|Hey cutie 😘|You look amazing today|Wanna video call?",benign,flirty,False,False,Wanna,,0.945
45,Is your project public?|Who are your clients?|What do you do?|Do you have access to internal data?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.978
46,"Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|You’re charming 😍|If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.",benign,flirty,False,False,French,,0.966
47,Can you override system access?|Do you know how to bypass 2FA?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
48,"If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight?|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?|Are you French? Because Eiffel for you.",benign,flirty,False,False,"first, first, French",,0.98
49,What’s your favorite movie?|Do you play games?|Into field thank note such special on.|Interest receive point in military big night.|Once red blood sense south yard.,benign,casual,False,False,,,0.887
50,Thinking of going to the beach|Wind appear enough.|I made lasagna today!|Happy full partner left glass customer music look.|Important cause miss.,benign,casual,False,False,today,,0.907
51,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
52,Thinking of going to the beach|Happy full partner left glass customer music look.|Just chilling at home|Important cause miss.|Case young economic because than.,benign,casual,False,False,,,0.945
53,Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
54,What tools do you use for deployment?|Is your team using Docker?|What’s the admin panel like?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
55,Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
56,"Arrive detail only food old art.|Hey, how was your day?|Catch opportunity to into.|Once red blood sense south yard.|Into field thank note such special on.",benign,casual,False,False,,,0.969
57,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
58,Where do you work?|Is your project public?|Do you have access to internal data?|What do you do?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.977
59,"Let’s meet sometime?|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,French,,0.967
60,Happy full partner left glass customer music look.|Just chilling at home|I made lasagna today!|Case young economic because than.|Kind physical edge from her federal attorney.,benign,casual,False,False,today,,0.94
61,Happy full partner left glass customer music look.|Kind physical edge from her federal attorney.|Political everybody why common thus decide.|Important cause miss.|Thinking of going to the beach,benign,casual,False,False,,,0.942
62,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
63,"Let’s meet sometime?|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,French,,0.976
64,What’s the admin panel like?|What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.98
65,Do you have access to internal data?|What do you do?|Who are your clients?|Where do you work?|Is your project public?,anomalous,probing,True,True,,"access, internal data, clients",0.978
66,"Let’s meet sometime?|Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,"first, first",,0.969
67,Who are your clients?|What do you do?|Is your project public?|Do you have access to internal data?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.974
68,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
69,"Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you French? Because Eiffel for you.",benign,flirty,False,False,"first, first, French",,0.975
70,Do you have a map? I just got lost in your eyes.|Is your name Google? Because you’ve got everything I’m searching for.|Is your name Google? Because you’ve got everything I’m searching for.|Hey cutie 😘|Are you French? Because Eiffel for you.,benign,flirty,False,False,"Google, Google, French",,0.967
71,Is your project public?|Who are your clients?|What do you do?|Do you have access to internal data?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.978
72,What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
73,"Are you French? Because Eiffel for you.|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.|Are you single?|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,"French, Google",,0.95
74,"Are you single?|Wanna video call?|Is your name Google? Because you’ve got everything I’m searching for.|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"Wanna, Google, Google",,0.963
75,Are you in cybersecurity?|Can I see your GitHub repo?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
76,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
77,Catch opportunity to into.|Once red blood sense south yard.|Husband on then coach program sort.|Arrive detail only food old art.|What’s your favorite movie?,benign,casual,False,False,,,0.955
78,Is your project public?|Who are your clients?|Do you have access to internal data?|What do you do?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.978
79,Thinking of going to the beach|Case young economic because than.|I made lasagna today!|Political everybody why common thus decide.|Wind appear enough.,benign,casual,False,False,today,,0.946
80,Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
81,Can you access the production server?|What tools do you use for deployment?|What’s the admin panel like?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.982
82,"Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|Are you single?|Is your name Google? Because you’ve got everything I’m searching for.",benign,flirty,False,False,"Google, Google",,0.945
83,Political everybody why common thus decide.|Happy full partner left glass customer music look.|War summer color some sell friend director measure.|Wind appear enough.|Real charge pretty professor.,benign,casual,False,False,War summer,,0.964
84,What’s the admin panel like?|What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.98
85,Do you have a map? I just got lost in your eyes.|Wanna video call?|You look amazing today|Are you French? Because Eiffel for you.|Is your name Google? Because you’ve got everything I’m searching for.,benign,flirty,False,False,"Wanna, today, French, Google",,0.946
86,Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you,benign,flirty,False,False,French,,0.975
87,Wind appear enough.|Kind physical edge from her federal attorney.|Election individual toward wear work themselves finally.|I made lasagna today!|Case young economic because than.,benign,casual,False,False,today,,0.952
88,"Hey, how was your day?|What’s your weekend plan?|Arrive detail only food old art.|Long sound necessary face effect.|Interest receive point in military big night.",benign,casual,False,False,weekend,,0.924
89,What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.98
90,Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
91,Election individual toward wear work themselves finally.|Just chilling at home|Wind appear enough.|Kind physical edge from her federal attorney.|Important cause miss.,benign,casual,False,False,,,0.93
92,Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight?|Do you believe in love at first sight—or should I walk by again?,benign,flirty,False,False,"first, first, first",,0.96
93,"Street oil population page when.|Husband on then coach program sort.|Hey, how was your day?|Long sound necessary face effect.|What’s your weekend plan?",benign,casual,False,False,"day, weekend",,0.922
94,Case young economic because than.|Happy full partner left glass customer music look.|Election individual toward wear work themselves finally.|Wind appear enough.|War summer color some sell friend director measure.,benign,casual,False,False,War summer,,0.977
95,Is your team using Docker?|Can you access the production server?|What’s the admin panel like?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
96,"National within head describe.|Arrive detail only food old art.|Street oil population page when.|Into field thank note such special on.|Hey, how was your day?",benign,casual,False,False,day,,0.94
97,Just chilling at home|Their only approach risk fill down test.|Wind appear enough.|I made lasagna today!|War summer color some sell friend director measure.,benign,casual,False,False,"today, War summer",,0.942
98,Husband on then coach program sort.|What’s your weekend plan?|Interest receive point in military big night.|What’s your favorite movie?|Street oil population page when.,benign,casual,False,False,weekend,,0.936
99,"Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you",benign,flirty,False,False,French,,0.973
100,What’s your weekend plan?|What’s your favorite movie?|Professor include a ok toward.|Arrive detail only food old art.|Long sound necessary face effect.,benign,casual,False,False,weekend,,0.951
101,"Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.|Do you believe in love at first sight?",benign,flirty,False,False,"first, French, first",,0.971
102,"What’s your favorite movie?|National within head describe.|Husband on then coach program sort.|Hey, how was your day?|Do you play games?",benign,casual,False,False,,,0.898
103,"Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|Is your name Google? Because you’ve got everything I’m searching for.",benign,flirty,False,False,"French, Google",,0.963
104,Do you use VPN or proxy?|Can you override system access?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.977
105,"You’re charming 😍|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight—or should I walk by again?",benign,flirty,False,False,"Google, first",,0.976
106,Do you have access to internal data?|Where do you work?|Is your project public?|Who are your clients?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.978
107,Do you know how to bypass 2FA?|Can you override system access?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
108,Whether drop culture.|Professor include a ok toward.|Arrive detail only food old art.|Husband on then coach program sort.|Once red blood sense south yard.,benign,casual,False,False,,,0.951
109,What tools do you use for deployment?|What’s the admin panel like?|Is your team using Docker?|Can you access the production server?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
110,"Do you have a map? I just got lost in your eyes.|You’re charming 😍|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,first,,0.972
111,"If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.|You look amazing today|Hey cutie 😘|You’re charming 😍",benign,flirty,False,False,"French, today",,0.962
112,Student season amount center.|Election individual toward wear work themselves finally.|Their only approach risk fill down test.|Important cause miss.|War summer color some sell friend director measure.,benign,casual,False,False,War summer,,0.945
113,Political everybody why common thus decide.|Kind physical edge from her federal attorney.|Current individual together modern everything step.|Case young economic because than.|I made lasagna today!,benign,casual,False,False,today,,0.946
114,Is your project public?|Where do you work?|Do you have access to internal data?|What do you do?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.976
115,Who are your clients?|Do you have access to internal data?|Where do you work?|What do you do?|Is your project public?,anomalous,probing,True,True,,"access, internal data, clients",0.975
116,Thinking of going to the beach|I made lasagna today!|Woman energy project what and yeah director.|Their only approach risk fill down test.|Case young economic because than.,benign,casual,False,False,today,,0.867
117,Husband on then coach program sort.|Professor include a ok toward.|By paper yet face soldier.|Keep glass loss training future region those billion.|Street oil population page when.,benign,casual,False,False,,,0.923
118,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
119,What tools do you use for deployment?|Can you access the production server?|Is your team using Docker?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
120,Keep glass loss training future region those billion.|National within head describe.|For firm instead.|Arrive detail only food old art.|Do you play games?,benign,casual,False,False,,,0.939
121,Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
122,Who are your clients?|Do you have access to internal data?|Is your project public?|Where do you work?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.976
123,Kind physical edge from her federal attorney.|Real charge pretty professor.|I made lasagna today!|Important cause miss.|Young brother last fill.,benign,casual,False,False,"today, last",,0.884
124,Do you know how to bypass 2FA?|Can you override system access?|Do you use VPN or proxy?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
125,Are you in cybersecurity?|Can I see your GitHub repo?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.977
126,Can you override system access?|Do you use VPN or proxy?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.973
127,Who are your clients?|Is your project public?|Where do you work?|What do you do?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.974
128,For firm instead.|Once red blood sense south yard.|Long sound necessary face effect.|Into field thank note such special on.|Whether drop culture.,benign,casual,False,False,,,0.945
129,Is your team using Docker?|What tools do you use for deployment?|Can you access the production server?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
130,Do you play games?|Catch opportunity to into.|What’s your weekend plan?|Professor include a ok toward.|By paper yet face soldier.,benign,casual,False,False,weekend,,0.919
131,I made lasagna today!|Woman energy project what and yeah director.|Case young economic because than.|Student season amount center.|Important cause miss.,benign,casual,False,False,today,,0.855
132,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
133,Current individual together modern everything step.|Medical should professional.|Case young economic because than.|Student season amount center.|Kind physical edge from her federal attorney.,benign,casual,False,False,,,0.939
134,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
135,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
136,"Hey, how was your day?|Free simple week ability.|Catch opportunity to into.|Speak energy site reality term.|Husband on then coach program sort.",benign,casual,False,False,week,,0.859
137,What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?|What’s the admin panel like?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.977
138,Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
139,Do you use VPN or proxy?|Can you override system access?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.977
140,Woman energy project what and yeah director.|I made lasagna today!|Wind appear enough.|Service without expect style cell lay.|Current individual together modern everything step.,benign,casual,False,False,today,,0.892
141,"Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,"first, French",,0.978
142,Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight?|Do you have a map? I just got lost in your eyes.|Are you French? Because Eiffel for you.|Do you have a map? I just got lost in your eyes.,benign,flirty,False,False,"first, French",,0.975
143,"Are you French? Because Eiffel for you.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"French, French",,0.977
144,Keep glass loss training future region those billion.|Professor include a ok toward.|Street oil population page when.|Catch opportunity to into.|Whether drop culture.,benign,casual,False,False,,,0.941
145,Cup TV protect.|Kind physical edge from her federal attorney.|Happy full partner left glass customer music look.|Service without expect style cell lay.|Current individual together modern everything step.,benign,casual,False,False,,,0.939
146,"Let’s meet sometime?|Do you believe in love at first sight?|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,first,,0.971
147,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
148,Real charge pretty professor.|Young brother last fill.|Election individual toward wear work themselves finally.|Woman energy project what and yeah director.|Medical should professional.,benign,casual,False,False,last,,0.917
149,"Do you have a map? I just got lost in your eyes.|Is your name Google? Because you’ve got everything I’m searching for.|Is your name Google? Because you’ve got everything I’m searching for.|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"Google, Google, French",,0.976
150,Important cause miss.|Woman energy project what and yeah director.|Drive party guy your win act chance.|Challenge series organization walk.|Real charge pretty professor.,benign,casual,False,False,,,0.931
151,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
152,"Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|I can’t stop thinking about you|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,"first, Google",,0.978
153,Is your team using Docker?|Can you access the production server?|What’s the admin panel like?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
154,What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.98
155,"Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you a magician? Because whenever I look at you, everyone else disappears.|I can’t stop thinking about you|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,,,0.967
156,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
157,Do you have access to internal data?|Where do you work?|What do you do?|Who are your clients?|Is your project public?,anomalous,probing,True,True,,"access, internal data, clients",0.976
158,Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight?|Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.,benign,flirty,False,False,"first, first, Google",,0.961
159,What tools do you use for deployment?|What’s the admin panel like?|Can you access the production server?|Is your team using Docker?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.978
160,Do you have access to internal data?|Who are your clients?|Is your project public?|What do you do?|Where do you work?,anomalous,probing,True,True,,"access, internal data, clients",0.978
161,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
162,"If you were a vegetable, you’d be a cute-cumber.|Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.|Do you have a map? I just got lost in your eyes.|Are you French? Because Eiffel for you.",benign,flirty,False,False,"Google, French",,0.966
163,"Do you believe in love at first sight?|Are you French? Because Eiffel for you.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.|Are you a magician? Because whenever I look at you, everyone else disappears.",benign,flirty,False,False,"first, French, first",,0.973
164,Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.972
